score,text
12,Intimate Partner Violence
12,"In addition to physical and sexual violence, experience of other types of violence among intimate partners was measured in the 2022 KDHS: psychological/ emotional violence (being humiliated in front of others, being threatened with harm against yourself or someone you care about, being insulted or making you feel bad about yourself) and economic violence (restrict, exploit, or sabotage your ability to acquire or access or maintain economic resources).

Four in ten women who have ever had a husband or intimate partner (41%) have ever experienced economic, psychological/emotional, physical, or sexual violence perpetrated by their current or most recent husband/intimate partner."
12,Female Genital Mutilation (FGM)
12,"The prevalence of FGM declined from 38% in 1998 to 15% in 2022.

Two percent of girls age 0-14 have been circumcised. Among girls whose mothers’ have no education, 11% have been circumcised, while <1% of girls whose mothers have more than secondary education have been circumcised."
12,Key Indicators & Sustainable Development Goal Indicators
12,"Today, we join our colleagues across the Continent in commemorating the African statistics day. As we celebrate, we take cognizance of the many achievements we have made in statistics.

Kenya in particular has made great strides in the realization of importance of statistics as evidenced by the increased demand of statistical information from the public, private sector,development partners and the government. KNBS would like to acknowledge the very significant role that statistics play, because they are an essential tool in public administration. They are instruments that ensure transparency in decision-making and are a very important link between national and international data, based on international sound methodologies. Our statistical products are readily accessible in various platforms. The Bureau currently avails statistical products on the website, online data portals and in printed reports. These platforms ensure transparency, accountability and inclusiveness in decision-making. In the last one year, our key achievements in the production of statistical information include:"
12,"Kenya is set to have its sixth national Census since independence on the night of 24th August 2019. The previous population Censuses were held in 1948, 1962 (pre-independence), 1969, 1979, 1989, 1999 and 2009. The practice of counting the population dates back to ancient times. Historical records show that ancient rulers needed to count their people in order to calculate the amount of taxes they would expect. Censuses have therefore formed the basis for planning of resources for many centuries.

This will be the first Census exercise being conducted since the promulgation of the new constitution and it will help in improved allocation of resources to the counties. For the first time, the enumeration process will be carried out using digital gadgets, a paperless process that will guarantee accuracy, speed of processing and security of the data."
12,Tiras Wainaina Njoroge
12,Tom Michira Nyakaba
12,Chief officer- Revenue administration
12,Priscilla Mahinda
12,"Chief officer-Public Health

General Inquiries"
12,Macro and Fiscal Affairs Department
12,"The Department derives its core functions and responsibilities from the mandate of the National Treasury, some of which include:"
12,"The Kenya National Bureau of Statistics (KNBS) plans to conduct a National Survey to collect data on households to measure among other things welfare and poverty levels. This will address data gaps in the available data hence are necessary for monitoring Government initiatives such as vision 2030.

The survey will thus enable the Government to make informed decisions when planning for development initiatives at the National and County levels. KIHBS is the first survey at the household level to be conducted under the devolved system of Government."
12,2014 Global Adult Tobacco Survey Press Release
12,Global Adult Tobacco Survey
12,Twitter Space Meet up with the PS
12,Debt Recording and Settlement
12,"Debt Recording and Settlement Department

The department is divided into two (2) divisions and its main functions include:"
12,"PS Stephen Isaboke, EBS, represented Cabinet Secretary Hon. William Kabogo, at the Kazakhstan-Kenya Business Forum in Nairobi.

Our Contacts"
12,Frequently asked questions
12,"We love sharing our knowledge and experience on potato farming with you. However, since we are a seed production farm, we operate under strict quarantine measures and can’t allow visitors to our farm. Under training you can find all our training videos. You can also have a look at our Calendar to see where in the country we will be training farmers next"
12,Does Agrico contract farmers for seed production?
12,Can I recycle the seeds?
12,"Agrico Potato Services Africa Limited is the exclusive agent to multiply Agrico seed varieties in Kenya. We do not contract farmers to multiply seeds for us, but do everything ourselves."
12,Can Agrico buy the potatoes from me after growing them?
12,"Weed killing - In this video you will learn how and why you need to manage weeds in your potato crop, both manually and chemical (use of herbicides).

Duration: 2.38 minutes"
12,# 12 Growing | top dressing
12,# 8 Planting | treating
12,# 7 Planting | seed potatoes
12,"Treating seed potatoes - In this video you learn about soil born pests & diseases, specifically nematodes. What is the impact of nematodes on your crop, and how can you prevent or overcome the impact of the same.

Video duration: 1.45 minutes"
12,# 9 Planting | creating ridges
12,"Contributions in to a a registered retirement benefits scheme is tax deductible to a maximum of ksh 20000 pm or ksh 240000 pa. First ksh 600000 of lumpsum upon withdrawal of benefits and ksh 25000 monthly pension received from such scheme is tax free.

Collective investment schemes (Unit Trusts, Real Estate Investment Trusts, Employee Share Ownership Plans)"
12,Exemptions on VAT
12,Mark the Dates! Fun Takes Over Uhuru Park this 12th–14th December 2025 — Don’t Miss Out!
12,Battle Of The Choirs 2nd Edition 2024 Knockouts Stage Qualifiers Held At Charter Hall Nairobi City County
12,The Nairobi Festival: Join us for an extraordinary experience!
12,Join us for the highly anticipated second edition of The Nairobi Festival – where the vibrant pulse of the city comes to life!
12,The Nairobi Festival Caravan Kicks off in earnest…
12,It’s A Wrap! Nairobi’s 2nd Health Scientific Conference Closes with Renewed Commitment to Evidence-Based and Innovative Healthcare
